retweetCount,favoriteCount,text,time
8209,53098,👍🏼,2017-04-03T17:30:40.000Z
7919,49189,Selfie time👌,2017-04-01T11:10:32.000Z
5379,35763,Be focus👀,2017-03-31T11:29:07.000Z
5527,23887,"Just finished shooting with @nubiasmartphone, very impressed by the dual camera! Looking forward to the product launch on April 6th",2017-03-30T09:04:54.000Z
8645,41828,Proud 👌👌👌🛫,2017-03-29T19:16:21.000Z
10439,39302,Happy and honored to have my name given to the Madeira airport! ✈️👍,2017-03-29T16:17:36.000Z
9997,42345,Always special to be back home!🏆👍🔝,2017-03-27T19:58:53.000Z
11123,52647,🇵🇹⚽️,2017-03-27T14:03:04.000Z
10245,66793,Lunch with my little man❤️❤️❤️,2017-03-26T13:21:20.000Z
15687,55615,Well done boys 👌🇵🇹,2017-03-25T22:19:24.000Z
9611,46192,Great mood With my boy🇵🇹👌,2017-03-24T19:58:36.000Z
4229,25190,Just dream it and achieve your potential! Now share your success story with @turktelekom to inspire us all. #justdreamit #senyeterkihayalet,2017-03-24T13:31:40.000Z
6115,31284,Glad to meet these amazing kids today! They are a true source of inspiration 💪 @terradossonhos,2017-03-23T16:50:31.000Z
11177,56811,🇵🇹🇵🇹🇵🇹,2017-03-23T12:56:31.000Z
3830,27952,Perfect for the summer! 👍🏼🔝 @CR7underwear http://www.CR7Underwear.com ,2017-03-20T18:17:27.000Z
15562,66107,👌,2017-03-18T21:16:09.000Z
1690,11053,Always staying ahead of the competition. 👍🏼 Speed training with @Herbalife . #sponsored #TrueToYourStory,2017-03-17T16:47:23.000Z
17684,51285,Today I think of Syrian kids like Omar* who drew his dream of being a barber. ✂ #SaveSyriasChildren @SavetheChildren,2017-03-15T18:18:43.000Z
2295,14791,"Did you check out the latest update for my mobile game? It's awesome! How many goals can you score?
Update Now: http://bit.ly/KicknRun ",2017-03-14T18:06:22.000Z
3887,27948,Had a lot of fun today at the grand opening of the CR7 Crunch Fitness at Ciudad Lineal👌🔝,2017-03-13T22:37:54.000Z
3387,21600,"Ya conoces mi nuevo gimnasio @CR7CrunchFitnes ? Ven a ciudad Lineal, hasta el final del mes y  aprovecha la matrícula gratis 😉",2017-03-13T17:29:36.000Z
3047,19557,All of my favourite styles ￼￼￼are in the SS17 #CR7Underwear campaign!,2017-03-06T15:13:54.000Z
8333,45919,Training 👍👌,2017-03-05T17:57:03.000Z
12159,41951,VAMOS EQUIPO. HALA MADRID 👌👍,2017-03-04T13:36:21.000Z
2193,14512,"To be a champion, you need the best. @Xtrade will give you the right tools to start with. http://bit.ly/2lytZPk ",2017-03-02T18:19:13.000Z
6831,51676,🚴🏻,2017-02-28T11:28:34.000Z
13566,51734,Well done team👍👌,2017-02-26T23:03:36.000Z
7831,34827,Hala Madrid 👍👌,2017-02-25T15:08:47.000Z
22862,112586,🏡😎☀️,2017-02-21T12:50:49.000Z
6663,50009,👌👌👌,2017-02-19T18:47:26.000Z
14045,68022,👍,2017-02-16T09:16:13.000Z
2410,18444,"Have you seen the new update of @cr7selfie? Now you can have a selfie with me and the Ballon D’or!
Try it now ✌📸 #CR7Selfie #FanWithACause",2017-02-14T18:05:50.000Z
2010,12323,Having some fun on the set of my latest @CR7underwear​ campaign! Check it out! http://www.CR7Underwear.com ,2017-02-13T20:33:31.000Z
3179,20040,It's all about the detail! My new @CR7underwear collection and campaign launches TODAY! http://www.CR7Underwear.com ,2017-02-13T17:25:03.000Z
9686,57401,👌,2017-02-09T13:13:19.000Z
28131,115140,🎂🥂❤️,2017-02-05T20:50:15.000Z
5228,33020,You got La Silver? I got La Gold. Want to argue? 😎 #am97 #gold @nikesportswear,2017-02-04T14:01:51.000Z
7868,49046,Be serious 😉😉😉,2017-02-03T17:03:14.000Z
2432,16215,Discover #CristianoRonaldo Collection and amazing outfits at http://www.sacoorbrothers.com  and complete a remarkable moment!,2017-02-02T18:33:09.000Z
5865,33824,Shooting day👌,2017-02-01T17:36:33.000Z
7597,59083,👀,2017-01-31T12:03:17.000Z
6504,25388,Crash and burn @DwyaneWade ⚽💯 #raiseit http://www.nowraiseit.com ,2017-01-30T18:11:28.000Z
12063,57824,⚽️,2017-01-30T15:41:06.000Z
1819,13724,"NEW HIGHSCORE! Can you beat me? Show me your skills and reply with your highscore.
http://bit.ly/KicknRun ",2017-01-28T18:00:09.000Z
2669,18445,This Valentine’s Day give to your loved ones my ultimate comfort #CR7blankets. Save 15% with promo code: LOVECR7 at http://www.CR7blankets.com ,2017-01-25T12:11:15.000Z
6715,32902,Thanks for the support of Chinese fans. Glad to be the 懂球帝(All Football) 2016 best player.,2017-01-24T21:01:14.000Z
4699,33924,My team👌👌👌,2017-01-23T19:43:38.000Z
4679,21942,I can rise to any challenge @DwyaneWade gives me. Tell him who you think won? #raiseit 💯😂 http://www.nowraiseit.com ,2017-01-19T13:53:57.000Z
8171,43016,Mood,2017-01-16T16:56:48.000Z
9394,39008,The Best FIFA 2016 award is already available in my Museu CR7  👌🔝,2017-01-13T13:10:16.000Z
4814,28802,"Driving into 2017, another dream year ahead #DontCrackUnderPressure #tagheuer @TAGHeuer",2017-01-12T08:02:38.000Z
9425,37552,"I was looking for the fans, because you supporting me every day,since day one. The trophy it's yours too. Thank your very much❤️❤️❤️",2017-01-11T22:35:46.000Z
6322,31502,Guess where my eyes looking??? I let you know later 👍,2017-01-11T19:59:23.000Z
10552,43381,👌🔝,2017-01-10T17:40:40.000Z
2358,12962,Thanks @turktelekom,2017-01-10T17:38:59.000Z
12905,40381,You don’t lift the trophy for best player in the world without your team. #JustDoIt,2017-01-10T08:03:31.000Z
37586,76033,"Delighted to win The Best FIFA award. Wouldn't be possible without my teammates, coaches and you who support me every day. Thanks everyone!",2017-01-09T20:34:00.000Z
7954,47476,😍,2017-01-09T12:56:00.000Z
20629,57467,Thank you all for this amazing celebration!👏👍,2017-01-07T18:44:23.000Z
7411,28343,"Honoured to wear my CR7 #Mercurial Vitórias boots today 🙌 🏆
@nikefootball",2017-01-07T08:05:25.000Z
